title,content,topic,sentiment
"กระทรวงสาธารณสุขเตือนประชาชนระวังโรคตามฤดูกาล","กระทรวงสาธารณสุขออกประกาศเตือนประชาชนระวังโรคที่มักระบาดในช่วงเปลี่ยนฤดู โดยเฉพาะไข้หวัดใหญ่และไข้เลือดออก แนะให้ดูแลสุขอนามัยและกำจัดแหล่งเพาะพันธุ์ลูกน้ำ",health,neutral
"ยอดผู้ป่วยไข้เลือดออกเพิ่มขึ้นเท่าตัว","กรมควบคุมโรครายงานจำนวนผู้ป่วยไข้เลือดออกเพิ่มขึ้นเกือบเท่าตัวเทียบกับช่วงเดียวกันของปีก่อน โดยพบผู้ป่วยมากในกลุ่มเด็กวัยเรียน เจ้าหน้าที่เร่งพ่นหมอกควันในพื้นที่เสี่ยง",health,negative
"โรงพยาบาลเปิดศูนย์รักษามะเร็งครบวงจร","โรงพยาบาลศูนย์เปิดให้บริการศูนย์รักษาโรคมะเร็งครบวงจร ลดความจำเป็นที่ผู้ป่วยต้องเดินทางเข้ากรุงเทพมหานคร ผู้ป่วยในภูมิภาคเข้าถึงการรักษาได้เร็วขึ้น",health,positive
"ฉีดวัคซีนป้องกันไข้หวัดใหญ่ฟรีสำหรับกลุ่มเสี่ยง","หน่วยบริการสาธารณสุขเปิดให้กลุ่มเสี่ยงเข้ารับวัคซีนป้องกันไข้หวัดใหญ่โดยไม่มีค่าใช้จ่าย ครอบคลุมผู้สูงอายุ หญิงตั้งครรภ์ และผู้มีโรคประจำตัว",health,positive
"เตียงผู้ป่วยหนักไม่เพียงพอในบางพื้นที่","โรงพยาบาลในบางจังหวัดรายงานว่าเตียงผู้ป่วยหนักเต็มและต้องส่งต่อผู้ป่วยไปยังโรงพยาบาลใกล้เคียง หน่วยงานเร่งจัดสรรทรัพยากรและเพิ่มบุคลากรชั่วคราว",health,negative
"ผลวิจัยชี้การเดินวันละ 30 นาทีลดความเสี่ยงโรคหัวใจ","ทีมวิจัยเผยผลการศึกษาที่ระบุว่าการเดินเร็วอย่างน้อยวันละ 30 นาทีช่วยลดความเสี่ยงโรคหัวใจได้อย่างมีนัยสำคัญ แพทย์แนะให้เริ่มจากระยะสั้นและเพิ่มขึ้นทีละน้อย",health,positive
"เตือนภัยฝุ่นละอองขนาดเล็กกระทบระบบทางเดินหหายใจ","แพทย์เตือนว่าฝุ่นละอองขนาดเล็กในอากาศส่งผลต่อระบบทางเดินหายใจ โดยเฉพาะในเด็กและผู้สูงอายุ แนะให้สวมหน้ากากที่กรองฝุ่นได้และเลี่ยงกิจกรรมกลางแจ้งเมื่อค่าฝุ่นสูง",health,negative
"โครงการคัดกรองเบาหวานเชิงรุกในชุมชน","หน่วยบริการสาธารณสุขลงพื้นที่คัดกรองเบาหวานเชิงรุกในชุมชน พบผู้มีภาวะเสี่ยงจำนวนมากที่ยังไม่รู้ตัว และส่งต่อเข้ารับคำแนะนำเรื่องอาหารและการออกกำลังกาย",health,positive
"ขาดแคลนพยาบาลในโรงพยาบาลชุมชน","สภาการพยาบาลระบุว่าโรงพยาบาลชุมชนหลายแห่งขาดแคลนพยาบาล ทำให้ภาระงานต่อคนสูงและเสี่ยงต่อคุณภาพการดูแลผู้ป่วย จึงเสนอให้เพิ่มอัตรากำลังและค่าตอบแทน",health,negative
"ผู้ป่วยโรคไตเข้าถึงการฟอกไตใกล้บ้านมากขึ้น","หน่วยงานขยายบริการฟอกไตไปยังโรงพยาบาลระดับอำเภอเพิ่มเติม ทำให้ผู้ป่วยไม่ต้องเดินทางไกลสัปดาห์ละหลายครั้ง ช่วยลดค่าใช้จ่ายและความเหนื่อยล้า",health,positive
