title,content,topic,sentiment
"ชุมชนร่วมกันปรับปรุงพื้นที่รกร้างเป็นสวนสาธารณะ","ชาวบ้านในชุมชนร่วมกับเทศบาลเปลี่ยนพื้นที่รกร้างให้เป็นสวนสาธารณะขนาดเล็ก มีลานออกกำลังกายและพื้นที่เล่นสำหรับเด็ก ผู้อยู่อาศัยระบุว่าคุณภาพชีวิตดีขึ้น",society,positive
"ปัญหาความเหลื่อมล้ำทางรายได้ยังเป็นโจทย์ใหญ่","รายงานภาวะสังคมชี้ว่าความเหลื่อมล้ำทางรายได้ระหว่างเมืองและชนบทยังอยู่ในระดับสูง โดยครัวเรือนรายได้น้อยมีสัดส่วนหนี้ต่อรายได้มากกว่ากลุ่มอื่นอย่างชัดเจน",society,negative
"เปิดศูนย์ดูแลเด็กเล็กในชุมชนแรงงาน","หน่วยงานท้องถิ่นเปิดศูนย์ดูแลเด็กเล็กในชุมชนแรงงาน ช่วยให้ผู้ปกครองไปทำงานได้โดยไม่ต้องทิ้งลูกไว้ลำพัง มีเด็กเข้ารับบริการเต็มจำนวนในเดือนแรก",society,positive
"ผู้สูงอายุอยู่ลำพังเพิ่มขึ้นในสังคมไทย","สำนักงานสถิติรายงานว่าจำนวนผู้สูงอายุที่อาศัยอยู่ลำพังเพิ่มขึ้นต่อเนื่อง ซึ่งเพิ่มความเสี่ยงด้านสุขภาพและความปลอดภัย หน่วยงานเสนอให้ขยายระบบเยี่ยมบ้าน",society,negative
"อาสาสมัครร่วมทำความสะอาดคลองในชุมชน","กลุ่มอาสาสมัครกว่า 300 คนร่วมกันเก็บขยะและกำจัดวัชพืชในคลองสายหลักของชุมชน ทำให้น้ำไหลได้ดีขึ้นและลดปัญหากลิ่นเหม็นในฤดูแล้ง",society,positive
"ปัญหาคนไร้บ้านในเมืองใหญ่เพิ่มขึ้น","องค์กรภาคประชาสังคมรายงานว่าจำนวนคนไร้บ้านในเมืองใหญ่เพิ่มขึ้น ส่วนหนึ่งมาจากการสูญเสียงานและค่าเช่าที่สูงขึ้น หน่วยงานเปิดศูนย์พักพิงชั่วคราวเพิ่ม",society,negative
"โครงการธนาคารเวลาช่วยดูแลผู้สูงอายุ","ชุมชนริเริ่มโครงการธนาคารเวลา ให้สมาชิกสะสมชั่วโมงจากการช่วยดูแลผู้สูงอายุและแลกเป็นบริการเมื่อจำเป็น ช่วยสร้างเครือข่ายการดูแลกันในชุมชน",society,positive
"เด็กและเยาวชนเข้าถึงพื้นที่เล่นน้อยลง","ผลสำรวจพบว่าเด็กในเขตเมืองมีพื้นที่เล่นสาธารณะน้อยลง ส่งผลต่อพัฒนาการทางร่างกายและสังคม นักวิชาการเสนอให้กำหนดสัดส่วนพื้นที่สีเขียวต่อประชากรให้ชัดเจน",society,negative
"ชาวบ้านรวมกลุ่มตั้งวิสาหกิจชุมชนแปรรูปผลผลิต","ชาวบ้านรวมกลุ่มตั้งวิสาหกิจชุมชนแปรรูปผลผลิตทางการเกษตร ทำให้ขายได้ราคาดีกว่าการขายผลผลิตสด สมาชิกมีรายได้เพิ่มขึ้นและลดปัญหาผลผลิตล้นตลาด",society,positive
"ความรุนแรงในครอบครัวถูกแจ้งเหตุมากขึ้น","ศูนย์ช่วยเหลือรายงานว่าจำนวนการแจ้งเหตุความรุนแรงในครอบครัวเพิ่มขึ้น ซึ่งส่วนหนึ่งสะท้อนว่าผู้เสียหายกล้าขอความช่วยเหลือมากขึ้น หน่วยงานเพิ่มบ้านพักฉุกเฉิน",society,negative
"โรงเรียนและชุมชนร่วมกันแก้ปัญหาเด็กหลุดจากระบบ","โรงเรียนร่วมกับผู้นำชุมชนติดตามเด็กที่ขาดเรียนต่อเนื่องและช่วยแก้ปัญหาที่ต้นเหตุ ทั้งเรื่องค่าเดินทางและภาระครอบครัว ทำให้เด็กหลายรายกลับเข้าเรียนได้",society,positive
"ประชาชนร้องเรียนปัญหาน้ำประปาไม่ไหลหลายวัน","ชาวบ้านในหลายชุมชนร้องเรียนว่าน้ำประปาไม่ไหลต่อเนื่องหลายวัน ทำให้ใช้ชีวิตลำบาก การประปาชี้แจงว่าเกิดจากท่อแตกและเร่งซ่อมพร้อมแจกน้ำสะอาดชั่วคราว",society,negative
"เปิดพื้นที่ตลาดชุมชนให้ผู้ค้ารายย่อย","เทศบาลจัดพื้นที่ตลาดชุมชนให้ผู้ค้ารายย่อยขายสินค้าโดยไม่เก็บค่าเช่าในช่วงแรก ช่วยให้ผู้มีรายได้น้อยมีช่องทางค้าขายและลดปัญหาการขายบนทางเท้า",society,positive
"คนพิการยังเข้าถึงระบบขนส่งสาธารณะได้ยาก","องค์กรด้านคนพิการระบุว่าระบบขนส่งสาธารณะหลายส่วนยังไม่รองรับผู้ใช้รถเข็น ทั้งทางลาดและลิฟต์ที่ชำรุด จึงเรียกร้องให้ปรับปรุงตามมาตรฐานที่กฎหมายกำหนด",society,negative
"ชุมชนจัดงานประเพณีท้องถิ่นคึกคัก","ชุมชนจัดงานประเพณีท้องถิ่นประจำปี มีผู้เข้าร่วมจากพื้นที่ใกล้เคียงจำนวนมาก ช่วยสืบสานวัฒนธรรมและสร้างรายได้ให้ผู้ค้าในพื้นที่",society,positive
"แรงงานนอกระบบเข้าถึงสวัสดิการได้มากขึ้น","หน่วยงานขยายการขึ้นทะเบียนแรงงานนอกระบบให้เข้าถึงสิทธิประกันสังคมภาคสมัครใจ ทำให้ผู้ประกอบอาชีพอิสระมีหลักประกันด้านสุขภาพและชราภาพ",society,positive
"ปัญหาขยะในชุมชนสะสมจากการจัดเก็บล่าช้า","ชาวบ้านสะท้อนปัญหาขยะสะสมในชุมชนเนื่องจากรถเก็บขยะเข้าไม่สม่ำเสมอ ส่งกลิ่นรบกวนและเป็นแหล่งเพาะพันธุ์สัตว์พาหะ เทศบาลรับเรื่องและปรับตารางจัดเก็บ",society,negative
"เปิดห้องสมุดชุมชนพร้อมพื้นที่เรียนรู้ฟรี","ชุมชนร่วมกับภาคเอกชนเปิดห้องสมุดชุมชนที่มีอินเทอร์เน็ตและพื้นที่ติวหนังสือให้เยาวชนใช้ฟรี มีนักเรียนเข้ามาใช้บริการเต็มพื้นที่ทุกวันหลังเลิกเรียน",society,positive
"ผู้ประสบภัยได้รับเงินเยียวยาล่าช้า","ผู้ประสบภัยในบางพื้นที่ระบุว่าได้รับเงินเยียวยาล่าช้ากว่ากำหนด ทำให้เดือดร้อนในการซ่อมแซมที่อยู่อาศัย หน่วยงานชี้แจงขั้นตอนและเร่งรัดการจ่ายเงิน",society,negative
"เยาวชนจิตอาสาสอนผู้สูงอายุใช้สมาร์ทโฟน","กลุ่มเยาวชนจิตอาสาจัดกิจกรรมสอนผู้สูงอายุใช้สมาร์ทโฟนและระวังภัยออนไลน์ ผู้เข้าร่วมระบุว่าสามารถใช้แอปติดต่อลูกหลานและตรวจสอบข้อมูลได้ด้วยตนเอง",society,positive
"เกิดข้อพิพาทเรื่องที่ดินระหว่างชาวบ้านและเอกชน","ชาวบ้านในพื้นที่ยื่นเรื่องร้องเรียนกรณีข้อพิพาทเรื่องแนวเขตที่ดินกับบริษัทเอกชน หน่วยงานตั้งคณะทำงานร่วมตรวจสอบเอกสารสิทธิ์และรับฟังทั้งสองฝ่าย",society,negative
"ชุมชนตั้งกองทุนสวัสดิการช่วยสมาชิกยามเจ็บป่วย","สมาชิกในชุมชนร่วมกันตั้งกองทุนสวัสดิการโดยออมเงินรายเดือน เพื่อช่วยเหลือกันในกรณีเจ็บป่วยหรือเสียชีวิต ปัจจุบันมีสมาชิกกว่า 400 ครัวเรือน",society,positive
