title,content,topic,sentiment
"ทีมชาติไทยคว้าชัยในการแข่งขันฟุตบอลนัดสำคัญ","ทีมชาติไทยเอาชนะคู่แข่งไปได้ในนัดสำคัญของการแข่งขันรอบคัดเลือก โดยได้ประตูชัยในช่วงท้ายเกม แฟนบอลที่เข้าชมในสนามส่งเสียงเชียร์อย่างกึกก้อง",sports,positive
"ทีมชาติไทยพลาดท่าแพ้ในบ้าน แฟนบอลผิดหวัง","ทีมชาติไทยพลาดท่าพ่ายแพ้ในเกมที่ลงเล่นในบ้าน ทำให้โอกาสเข้ารอบลดลง แฟนบอลจำนวนมากแสดงความผิดหวังต่อผลงานในครึ่งหลัง",sports,negative
"วอลเลย์บอลหญิงไทยเข้ารอบรองชนะเลิศ","ทีมวอลเลย์บอลหญิงทีมชาติไทยเอาชนะคู่แข่งด้วยสกอร์ 3-1 ผ่านเข้ารอบรองชนะเลิศได้สำเร็จ นักกีฬาระบุว่าการเตรียมตัวอย่างหนักส่งผลให้เล่นได้ตามแผน",sports,positive
"นักแบดมินตันไทยตกรอบแรกรายการใหญ่","นักแบดมินตันมือวางของไทยตกรอบแรกในรายการระดับโลก หลังพ่ายแพ้ในเกมรัดกุม โค้ชระบุว่าจะกลับไปแก้จุดอ่อนเรื่องความฟิตก่อนรายการถัดไป",sports,negative
"เปลี่ยนตัวโค้ชทีมชาติหลังผลงานไม่เข้าเป้า","สมาคมกีฬาประกาศเปลี่ยนตัวหัวหน้าผู้ฝึกสอนทีมชาติ หลังผลงานในรายการล่าสุดไม่เป็นไปตามเป้าหมาย โดยจะแถลงชื่อผู้ฝึกสอนคนใหม่ในสัปดาห์หน้า",sports,neutral
"นักมวยไทยป้องกันแชมป์โลกได้สำเร็จ","นักมวยไทยป้องกันตำแหน่งแชมป์โลกไว้ได้สำเร็จ หลังชนะคะแนนแบบเอกฉันท์ในไฟต์ที่จัดขึ้นในประเทศ แฟนมวยชื่นชมการวางแผนชกที่รอบคอบ",sports,positive
"ประกาศรายชื่อนักกีฬาชุดลุยซีเกมส์","คณะกรรมการโอลิมปิกประกาศรายชื่อนักกีฬาที่จะเข้าร่วมการแข่งขันซีเกมส์ ครอบคลุม 32 ชนิดกีฬา โดยจะเข้าเก็บตัวฝึกซ้อมร่วมกันในเดือนถัดไป",sports,neutral
"สนามกีฬาแห่งใหม่เปิดใช้งานอย่างเป็นทางการ","สนามกีฬาแห่งใหม่ในต่างจังหวัดเปิดใช้งานอย่างเป็นทางการ รองรับผู้ชมได้กว่า 20,000 คน และมีลู่วิ่งมาตรฐานสำหรับการแข่งขันระดับชาติ",sports,positive
"นักกีฬาบาดเจ็บหนัก ต้องพักยาวทั้งฤดูกาล","นักกีฬาตัวหลักของทีมได้รับบาดเจ็บเอ็นหัวเข่าจากการลงแข่ง แพทย์ประเมินว่าต้องพักรักษาตัวยาวตลอดฤดูกาล ทีมต้องปรับแผนการเล่นครั้งใหญ่",sports,negative
"ทีมเยาวชนไทยชนะขาดในนัดเปิดสนาม","ทีมฟุตบอลเยาวชนไทยเปิดสนามด้วยชัยชนะขาดลอย โดยยิงได้ถึง 4 ประตูโดยไม่เสียประตู กองหน้าดาวรุ่งทำได้สองประตูในเกมนี้",sports,positive
"ผลเสมอทำให้ทั้งสองทีมยังลุ้นเข้ารอบ","เกมจบลงด้วยผลเสมอ 1-1 ทำให้ทั้งสองทีมยังมีโอกาสเข้ารอบต่อไป โดยต้องรอผลการแข่งขันในนัดสุดท้ายของกลุ่มเพื่อชี้ชะตา",sports,neutral
"แฟนบอลไม่พอใจการตัดสินของกรรมการ","แฟนบอลจำนวนมากแสดงความไม่พอใจต่อการตัดสินในจังหวะสำคัญของเกม สมาคมระบุว่าจะส่งเรื่องให้คณะกรรมการผู้ตัดสินพิจารณาตามระเบียบ",sports,negative
"นักวิ่งไทยทำสถิติใหม่ในรายการมาราธอน","นักวิ่งไทยทำเวลาดีที่สุดของตัวเองและสร้างสถิติใหม่ระดับประเทศในรายการมาราธอน โดยเข้าเส้นชัยเป็นอันดับที่สามของรายการ",sports,positive
"สโมสรประกาศเซ็นสัญญานักเตะต่างชาติรายใหม่","สโมสรในลีกสูงสุดประกาศเซ็นสัญญานักเตะต่างชาติตำแหน่งกองกลาง ด้วยสัญญาสองปี ผู้เล่นระบุว่าตั้งใจช่วยทีมกลับไปเล่นถ้วยระดับทวีป",sports,neutral
"ทีมตกชั้นหลังแพ้นัดสุดท้ายของฤดูกาล","ทีมในลีกสูงสุดต้องตกชั้นหลังพ่ายแพ้ในนัดสุดท้ายของฤดูกาล แฟนคลับที่เดินทางไปเชียร์แสดงความเสียใจแต่ยืนยันจะติดตามทีมต่อไป",sports,negative
"เยาวชนไทยคว้าเหรียญทองยกน้ำหนัก","นักกีฬายกน้ำหนักเยาวชนไทยคว้าเหรียญทองจากการแข่งขันระดับเอเชีย ด้วยน้ำหนักรวมที่ทำลายสถิติของตัวเอง โค้ชชื่นชมวินัยการฝึกซ้อม",sports,positive
"เปิดขายตั๋วนัดชิงชนะเลิศ หมดภายในไม่กี่ชั่วโมง","ตั๋วเข้าชมนัดชิงชนะเลิศเปิดขายและจำหน่ายหมดภายในไม่กี่ชั่วโมง ผู้จัดเตรียมเพิ่มจุดถ่ายทอดสดสาธารณะเพื่อรองรับแฟนกีฬาที่ไม่ได้ตั๋ว",sports,positive
"นักกีฬาถูกลงโทษห้ามแข่งจากผลตรวจสารต้องห้าม","องค์กรกีฬาประกาศลงโทษนักกีฬารายหนึ่งห้ามลงแข่งขันเป็นเวลาสองปี หลังผลตรวจพบสารต้องห้าม นักกีฬาระบุจะยื่นอุทธรณ์ตามขั้นตอน",sports,negative
"ทีมชาติเก็บตัวฝึกซ้อมก่อนแข่งนัดสำคัญ","ทีมชาติเข้าเก็บตัวฝึกซ้อมเป็นเวลาสิบวันก่อนลงแข่งนัดสำคัญ โดยเน้นการซ้อมเกมรับและลูกตั้งเตะ ผู้ฝึกสอนระบุว่านักกีฬามีความพร้อมด้านร่างกาย",sports,neutral
"กองหน้าดาวรุ่งยิงประตูแรกในลีกสูงสุด","กองหน้าดาวรุ่งวัย 18 ปียิงประตูแรกในลีกสูงสุดได้สำเร็จ ช่วยให้ทีมเก็บสามคะแนนในเกมเยือน ผู้ฝึกสอนชื่นชมความตั้งใจในการฝึกซ้อม",sports,positive
"เลื่อนการแข่งขันเพราะสภาพสนามไม่พร้อม","ผู้จัดการแข่งขันประกาศเลื่อนเกมออกไปเนื่องจากฝนตกหนักทำให้สภาพสนามไม่พร้อม โดยจะกำหนดวันแข่งใหม่และแจ้งให้ทราบภายหลัง",sports,neutral
